n,iterative,recursive,tail
2172,0.0022841730024083517,3.262200334575027e-05,0.0009575699987180997
2185,0.0022746979993826244,3.2519001251785085e-05,0.0009360189978906419
2198,0.002359710997552611,2.9335998988244683e-05,0.0009228119997715112
2211,0.0023316289989452343,3.2799001928651705e-05,0.0009310949972132221
2224,0.002407706000667531,3.350300175952725e-05,0.0009561490005580708
2237,0.0024126919997797813,3.209400165360421e-05,0.0009533709999232087
2250,0.002381397000135621,3.394900340936147e-05,0.0010009520010498818
2263,0.002361753002332989,3.113000275334343e-05,0.0010769869986688718
2276,0.002433060999464942,3.204200038453564e-05,0.0010083950000989717
2289,0.002416507002635626,3.0310999136418104e-05,0.000980354001512751
2302,0.0024599309981567785,3.229000139981508e-05,0.0009650020001572557
2315,0.0025191720014845487,2.993799716932699e-05,0.0010324550021323375
2328,0.0024964299991552252,2.9274000553414226e-05,0.001011431999359047
2341,0.00243725900145364,3.0465998861473054e-05,0.0010503049998078495
2354,0.002505852000467712,3.1928000680636615e-05,0.0010831450017576572
2367,0.002563622998422943,3.979599932790734e-05,0.001053716001479188
2380,0.0025040589971467853,4.0468999941367656e-05,0.0016694579971954226
2393,0.0029310190002433956,3.4062999475281686e-05,0.0010722079969127662
2406,0.002512029997888021,2.926299930550158e-05,0.0010104270004376303
2419,0.002477075999195222,3.292299879831262e-05,0.0010627650008245837
2432,0.0025457929987169337,3.291200118837878e-05,0.0010247220016026404
2445,0.0025476999981037807,3.237399869249202e-05,0.001060848000633996
2458,0.0025367329981236253,3.167899922118522e-05,0.001051425002515316
2471,0.0025786540027183946,2.941899947472848e-05,0.0010742409976955969
2484,0.002597861999674933,3.1978997867554426e-05,0.0010406229994259775
2497,0.00269429800027865,2.941899947472848e-05,0.0010572399987722747
2510,0.0026084880009875633,3.2154999644262716e-05,0.0010589710000203922
2523,0.0026231140000163577,2.8599999495781958e-05,0.0011085520018241368
2536,0.002624057000502944,2.856900027836673e-05,0.0010590330020932015
2549,0.0027557479988900013,3.4787997719831765e-05,0.0010975330005749129
2562,0.002664630999788642,3.5712000681087375e-05,0.0011827740017906763
2575,0.0026469040021765977,4.127799911657348e-05,0.0010805329984577838
2588,0.002767617999779759,3.0228002287913114e-05,0.0010628380005073268
2601,0.0026963299969793297,4.03969970648177e-05,0.001107711999793537
2614,0.0027736209995055106,3.8313999539241195e-05,0.0011038150005333591
2627,0.002719269999943208,4.968499706592411e-05,0.0011053280031774193
2640,0.0028266219997021835,3.2985000871121883e-05,0.0011067380000895355
2653,0.0027895519997400697,3.170999843860045e-05,0.0011344259983161464
2666,0.002799264999339357,3.034200199181214e-05,0.0011366750004526693
2679,0.0028184530019643717,3.8779999158577994e-05,0.0011271280018263496
2692,0.0028660429998126347,4.542399983620271e-05,0.0011496119986986741
2705,0.0028474159989855252,3.9877999370219186e-05,0.0012287879981158767
2718,0.0028422639989003073,3.579500116757117e-05,0.0011440769994806033
2731,0.002852764999261126,3.476799975032918e-05,0.001278567000554176
2744,0.002932594001322286,3.6073997762287036e-05,0.00114939499690081
2757,0.0029595870000775903,7.802599793649279e-05,0.001163264001661446
2770,0.002962230999401072,3.3503998565720394e-05,0.0011886510001204442
2783,0.0029834089982614387,2.828899960150011e-05,0.0011780260028899647
2796,0.0029543109994847327,3.8956000935286283e-05,0.0012977340011275373
2809,0.003000968998094322,3.749400275410153e-05,0.0011993599982815795
2822,0.00297074199988856,3.917299909517169e-05,0.0012556269975902978
2835,0.0030253609984356444,6.150200351839885e-05,0.0012223720004840288
2848,0.003039530998648843,3.893499888363294e-05,0.0012518639996415004
2861,0.003119142998912139,3.7619000067934394e-05,0.0012209519991301931
2874,0.003022525997948833,3.126400042674504e-05,0.0012246629994479008
2887,0.002995328999531921,2.787400080705993e-05,0.0012032360027660616
2900,0.002999819000251591,2.696200317586772e-05,0.0013306359978741966
2913,0.0033468969995738007,3.075600034208037e-05,0.0012519880001491401
2926,0.0030591020004067104,2.8558999474626034e-05,0.0012682220003625844
2939,0.0030648659994767513,3.073499829042703e-05,0.0012433949996193405
2952,0.003098514000157593,2.9459999495884404e-05,0.001320590999966953
2965,0.003585504000511719,2.8745998861268163e-05,0.0012765040009981021
2978,0.0031416169986187015,3.117099913652055e-05,0.0012555949979287107
2991,0.0032077720024972223,2.921199848060496e-05,0.002659820998815121
3004,0.003404728999157669,3.0870000045979396e-05,0.0013145060001988895
3017,0.003183806999004446,2.7729001885745674e-05,0.001260840999748325
3030,0.0031553310000163037,3.188600021530874e-05,0.0012900939982500859
3043,0.0032474649997311644,2.9855000320822e-05,0.0012860620008723345
3056,0.0032592509996902663,3.067299985559657e-05,0.0012787119994754903
3069,0.003194329001416918,2.7791997126769274e-05,0.0012976299985894002
3082,0.003255748000810854,2.8713999199680984e-05,0.0013086909966659732
3095,0.003287363997515058,2.9761002224404365e-05,0.0013034869989496656
3108,0.0032861719992069993,2.8641999961109832e-05,0.0012821739983337466
3121,0.0032924229999480303,2.723099896684289e-05,0.0013356629970076028
3134,0.003308106002805289,3.253999966545962e-05,0.0013214609971328173
3147,0.0032894370015128516,2.9511997126974165e-05,0.0013130859988450538
3160,0.003308686998934718,3.0414001230383292e-05,0.0013606770007754676
3173,0.0034042209990730044,2.8713999199680984e-05,0.0013524349997169338
3186,0.0033360019988322165,3.2632997317705303e-05,0.0013325740001164377
3199,0.003337204998388188,2.9688002541661263e-05,0.0013691470012417994
3212,0.003331524996610824,2.8922000637976453e-05,0.0014225730010366533
3225,0.003360155998962,2.9408998670987785e-05,0.0013560120023612399
3238,0.003362704999744892,3.004099926329218e-05,0.0013437390007311478
3251,0.0034332770010223612,2.8766000468749553e-05,0.0014046810028958134
3264,0.003429898999456782,2.9843999072909355e-05,0.0013888319990655873
3277,0.003459452000242891,3.0798000807408243e-05,0.001372099999571219
3290,0.0034713319982984103,3.160599953844212e-05,0.0014351360005093738
3303,0.003477136000583414,2.9119000828359276e-05,0.001425215999915963
3316,0.003500626000459306,2.8972997824894264e-05,0.0014172339979268145
3329,0.0035166110028512776,3.0269002309069037e-05,0.0014244069971027784
3342,0.0035129619973304216,2.95429999823682e-05,0.0014121130006969906
3355,0.0036200229988025967,3.1056999432621524e-05,0.001412517001881497
3368,0.003518206998705864,3.093300256296061e-05,0.0015211440004350152
3381,0.0035578690003603697,2.9491999157471582e-05,0.0014328139986901078
3394,0.0035653010017995257,3.137800013064407e-05,0.0014701020008942578
3407,0.0035654249986691866,3.106700023636222e-05,0.0015312830000766553
